,"Time Since Formation, h","N, # / m","Optical Depth, ---","Integrated Optical Depth, m","I, kg of ice / m","Extinction defined width, m","Extinction defined depth, m"
0,0.0,9617833000000.0,0.0022750864086127803,81.474655,0.032809507,10.0,80.0
1,0.16666666666666666,9214110000000.0,0.0011241800378530543,516.7775,0.58662826,680.0,133.0
2,0.3333333333333333,9213432000000.0,0.00109095778389317,956.6702,1.8109825,1300.0,182.0
3,0.5,9213002000000.0,0.0010308720586990892,1254.8044,3.220418,1700.0,203.0
4,0.6666666666666666,9201752000000.0,0.0009339509329736677,1455.6246,4.6307974,2100.0,231.0
5,0.8333333333333334,9132811000000.0,0.0008077100105235065,1607.5813,6.128071,2450.0,273.0
6,1.0,9045917000000.0,0.0007094451403020189,1776.3788,7.9506993,2750.0,301.0
7,1.1666666666666667,8871617000000.0,0.0005883978549394844,1932.4281,10.23258,2950.0,350.0
8,1.3333333333333333,8673124000000.0,0.0005221779595678303,2103.7256,12.840417,3350.0,427.0
9,1.5,8393209700000.0,0.0004589498188220335,2226.1255,14.580372,3500.0,329.0
10,1.6666666666666665,8086843000000.0,0.0004297229209728699,2261.634,14.744641,3750.0,350.0
11,1.8333333333333335,7748226400000.0,0.0004043621246106704,2275.4658,14.71059,4100.0,364.0
12,2.0,7388843000000.0,0.0003702985151749673,2293.3088,14.740205,4350.0,378.0
13,2.1666666666666665,7037662000000.0,0.00030538868078867226,2308.7642,14.788988,4650.0,392.0
14,2.3333333333333335,6631626600000.0,0.00029153463890953723,2323.504,14.993916,5200.0,434.0
15,2.5,6265912700000.0,0.0002748772621766444,2350.0864,15.238266,5550.0,441.0
16,2.6666666666666665,5881632700000.0,0.0002620962958150946,2354.2603,15.327932,5850.0,462.0
17,2.8333333333333335,5518762400000.0,0.0002460875264069011,2365.2656,15.501752,6250.0,469.0
18,3.0,5187155500000.0,0.000236514552267444,2380.476,15.683792,6750.0,497.0
19,3.1666666666666665,4883677000000.0,0.00022591233361321446,2388.8499,15.863821,7100.0,511.0
20,3.3333333333333335,4552007400000.0,0.0002144196963572748,2385.6602,16.024971,7500.0,511.0
21,3.5,4253963500000.0,0.00020649859782304514,2388.0894,16.150908,8050.0,595.0
22,3.6666666666666665,3962565600000.0,0.0001937930421023334,2380.0586,16.282108,8950.0,595.0
23,3.8333333333333335,3713398000000.0,0.0001876658041473412,2385.8616,16.473509,9500.0,595.0
24,4.0,3462516000000.0,0.0001779720380791128,2368.1477,16.535112,9900.0,595.0
25,4.166666666666667,3255607800000.0,0.00017243917913013204,2369.5503,16.666025,10250.0,595.0
26,4.333333333333333,3050909500000.0,0.00016440464298388529,2351.459,16.683899,10750.0,595.0
27,4.5,2854161700000.0,0.00015882653852034416,2337.5225,16.728859,11000.0,595.0
28,4.666666666666667,2672805500000.0,0.00015045177058500462,2309.291,16.640621,11250.0,588.0
