,"Time Since Formation, h","N, # / m","Optical Depth, ---","Integrated Optical Depth, m","I, kg of ice / m","Extinction defined width, m","Extinction defined depth, m"
0,0.0,9617833000000.0,0.0022750864086127803,81.474655,0.032809507,10.0,80.0
1,0.16666666666666666,9213738000000.0,0.0012484590907425772,515.04193,0.5854257,710.6,124.2
2,0.3333333333333333,9213213000000.0,0.00126402299423442,960.5711,1.8152969,1292.544,181.44
3,0.5,9211539000000.0,0.00120372651868086,1258.5251,3.2079046,1700.0,209.01888
4,0.6666666666666666,9197258000000.0,0.0010843027847411066,1441.0055,4.509424,2100.0,245.0
5,0.8333333333333334,9155845000000.0,0.0009555555001806471,1589.6012,5.8882537,2450.0,273.0
6,1.0,9089967000000.0,0.0008594170124942398,1742.2742,7.4096074,2750.0,287.0
7,1.1666666666666667,8938921000000.0,0.000766433195930976,1880.3612,9.187061,3000.0,329.0
8,1.3333333333333333,8732184000000.0,0.0006538427095728924,2029.9265,11.517836,3300.0,322.0
9,1.5,8475320000000.0,0.0005379296871197881,2135.4734,12.862306,3550.0,350.0
10,1.6666666666666665,8172027000000.0,0.00048808871812964003,2165.001,13.209227,3850.0,364.0
11,1.8333333333333335,7844143300000.0,0.0004552337065480663,2186.3936,13.144364,4050.0,385.0
12,2.0,7448166000000.0,0.00042640494509918844,2199.697,13.227119,4550.0,434.0
13,2.1666666666666665,7072528700000.0,0.00040696934426801197,2220.4172,13.316803,4800.0,420.0
14,2.3333333333333335,6643185000000.0,0.00038351711965817876,2216.21,13.329087,5300.0,434.0
15,2.5,6273611300000.0,0.0003639800923959511,2230.0354,13.366363,5550.0,455.0
16,2.6666666666666665,5900376000000.0,0.0003451424057917377,2240.3386,13.499216,5850.0,434.0
17,2.8333333333333335,5570766000000.0,0.00033217909725234034,2266.376,13.741494,6300.0,504.0
18,3.0,5220324600000.0,0.0003172884473973605,2276.1484,13.957634,6700.0,476.0
19,3.1666666666666665,4880253000000.0,0.00030093731612243106,2270.8684,14.11764,7600.0,595.0
20,3.3333333333333335,4556358400000.0,0.00028780474987038,2275.9768,14.306949,7650.0,553.0
21,3.5,4255226000000.0,0.00027499063985365364,2269.1914,14.319134,8250.0,602.0
22,3.6666666666666665,3982227100000.0,0.00026565610103694375,2266.5708,14.394937,8300.0,553.0
23,3.8333333333333335,3752339200000.0,0.00025451547012888577,2275.5005,14.505714,8850.0,595.0
